,target,item_id
2021-05-14 00:00:00 UTC,41.10996898,A
2021-05-15 00:00:00 UTC,42.87180003,A
2021-05-16 00:00:00 UTC,43.46242757,A
2021-05-17 00:00:00 UTC,47.17666784,A
2021-05-18 00:00:00 UTC,46.86175962,A
2021-05-19 00:00:00 UTC,56.20200903,A
2021-05-20 00:00:00 UTC,35.75884416,A
2021-05-21 00:00:00 UTC,44.52570263,A
2021-05-22 00:00:00 UTC,38.43160145,A
2021-05-23 00:00:00 UTC,31.61460189,A
2021-05-24 00:00:00 UTC,24.76763979,A
2021-05-25 00:00:00 UTC,30.98546737,A
2021-05-26 00:00:00 UTC,30.00644953,A
2021-05-27 00:00:00 UTC,35.65025364,A
2021-05-28 00:00:00 UTC,33.65934259,A
2021-05-29 00:00:00 UTC,29.02194839,A
2021-05-30 00:00:00 UTC,27.55720416,A
2021-05-31 00:00:00 UTC,28.56228743,A
2021-06-01 00:00:00 UTC,32.6621226,A
2021-06-02 00:00:00 UTC,30.98523815,A
2021-06-03 00:00:00 UTC,34.18804886,A
2021-06-04 00:00:00 UTC,39.70667545,A
2021-06-05 00:00:00 UTC,37.59916222,A
2021-06-06 00:00:00 UTC,39.34001089,A
2021-06-07 00:00:00 UTC,42.25988705,A
2021-06-08 00:00:00 UTC,38.19473237,A
2021-06-09 00:00:00 UTC,41.41714833,A
2021-06-10 00:00:00 UTC,42.07765253,A
2021-06-11 00:00:00 UTC,41.2059607,A
2021-06-12 00:00:00 UTC,36.09038097,A
2021-06-13 00:00:00 UTC,36.56837527,A
2021-06-14 00:00:00 UTC,38.8203861,A
2021-06-15 00:00:00 UTC,39.6440578,A
2021-06-16 00:00:00 UTC,39.69949998,A
2021-06-17 00:00:00 UTC,39.54766089,A
2021-06-18 00:00:00 UTC,39.32721785,A
2021-06-19 00:00:00 UTC,36.62410257,A
2021-06-20 00:00:00 UTC,35.26048478,A
2021-06-21 00:00:00 UTC,35.2842749,A
2021-06-22 00:00:00 UTC,26.59538137,A
2021-06-23 00:00:00 UTC,26.72920147,A
2021-06-24 00:00:00 UTC,30.87900373,A
2021-06-25 00:00:00 UTC,31.44053281,A
2021-06-26 00:00:00 UTC,29.23725923,A
2021-06-27 00:00:00 UTC,29.37477622,A
2021-06-28 00:00:00 UTC,31.67466281,A
2021-06-29 00:00:00 UTC,33.11418087,A
2021-06-30 00:00:00 UTC,33.92293268,A
2021-07-01 00:00:00 UTC,35.83440252,A
2021-07-02 00:00:00 UTC,33.55617113,A
2021-07-03 00:00:00 UTC,33.95890784,A
2021-07-04 00:00:00 UTC,34.46550621,A
2021-07-05 00:00:00 UTC,34.44884875,A
2021-07-06 00:00:00 UTC,33.12005545,A
2021-07-07 00:00:00 UTC,34.29123767,A
2021-07-08 00:00:00 UTC,36.65727454,A
2021-07-09 00:00:00 UTC,33.5141439,A
2021-07-10 00:00:00 UTC,33.53185263,A
2021-07-11 00:00:00 UTC,31.93920234,A
2021-07-12 00:00:00 UTC,32.12329224,A
2021-07-13 00:00:00 UTC,30.95347403,A
2021-07-14 00:00:00 UTC,29.16206823,A
2021-07-15 00:00:00 UTC,31.23600102,A
2021-07-16 00:00:00 UTC,28.32353743,A
2021-07-17 00:00:00 UTC,26.26323283,A
2021-07-18 00:00:00 UTC,26.79168755,A
2021-07-19 00:00:00 UTC,26.89393895,A
2021-07-20 00:00:00 UTC,24.81620054,A
2021-07-21 00:00:00 UTC,23.8584461,A
2021-07-22 00:00:00 UTC,26.67239697,A
2021-07-23 00:00:00 UTC,27.76297804,A
2021-07-24 00:00:00 UTC,28.37606777,A
2021-07-25 00:00:00 UTC,28.59033303,A
2021-07-26 00:00:00 UTC,28.31881777,A
2021-07-27 00:00:00 UTC,28.09669795,A
2021-07-28 00:00:00 UTC,27.95113101,A
2021-07-29 00:00:00 UTC,27.87180125,A
2021-07-30 00:00:00 UTC,31.41657633,A
2021-07-31 00:00:00 UTC,32.25269182,A
2021-08-01 00:00:00 UTC,36.24876036,A
2021-08-02 00:00:00 UTC,34.17251167,A
2021-08-03 00:00:00 UTC,33.27511835,A
2021-08-04 00:00:00 UTC,34.34012027,A
2021-08-05 00:00:00 UTC,35.9054826,A
2021-08-06 00:00:00 UTC,37.47983512,A
2021-08-07 00:00:00 UTC,39.53990292,A
2021-08-08 00:00:00 UTC,39.38262634,A
2021-08-09 00:00:00 UTC,37.66581962,A
2021-08-10 00:00:00 UTC,38.76250121,A
2021-08-11 00:00:00 UTC,40.66298981,A
2021-08-12 00:00:00 UTC,41.79949265,A
2021-08-13 00:00:00 UTC,41.19014957,A
2021-08-14 00:00:00 UTC,44.69284014,A
2021-08-15 00:00:00 UTC,44.06280237,A
2021-08-16 00:00:00 UTC,53.67834816,A
2021-08-17 00:00:00 UTC,62.27708029,A
2021-08-18 00:00:00 UTC,64.30343711,A
2021-08-19 00:00:00 UTC,74.00480196,A
2021-08-20 00:00:00 UTC,73.04851677,A
2021-08-21 00:00:00 UTC,78.44870433,A
2021-08-22 00:00:00 UTC,74.21792558,A
2021-08-23 00:00:00 UTC,73.12559206,A
2021-08-24 00:00:00 UTC,75.97033641,A
2021-08-25 00:00:00 UTC,71.21280824,A
2021-08-26 00:00:00 UTC,71.51094022,A
2021-08-27 00:00:00 UTC,76.11361964,A
2021-08-28 00:00:00 UTC,87.96820731,A
